-5.000000e+00  2.500000e+00 -5.000000e+00  5.250011e-01 
-4.900000e+00  2.450000e+00 -4.900000e+00  5.747635e-01 
-4.800000e+00  2.400000e+00 -4.800000e+00  6.245823e-01 
-4.700000e+00  2.350000e+00 -4.700000e+00  6.745018e-01 
-4.600000e+00  2.300000e+00 -4.600000e+00  7.246095e-01 
-4.500000e+00  2.250000e+00 -4.500000e+00  7.754844e-01 
-4.400000e+00  2.200000e+00 -4.400000e+00  8.618788e-01 
-4.300000e+00  2.150000e+00 -4.300000e+00  1.260887e+00 
-4.200000e+00  2.100000e+00 -4.200000e+00  1.974566e+00 
-4.100000e+00  2.050000e+00 -4.100000e+00  3.196116e+00 
-4.000000e+00  2.000000e+00 -4.000000e+00  4.442665e+00 
-3.900000e+00  1.950000e+00 -3.900000e+00  4.516649e+00 
-3.800000e+00  1.900000e+00 -3.800000e+00  4.544901e+00 
-3.700000e+00  1.850000e+00 -3.700000e+00  4.551909e+00 
-3.600000e+00  1.800000e+00 -3.600000e+00  4.537825e+00 
-3.500000e+00  1.750000e+00 -3.500000e+00  4.505930e+00 
-3.400000e+00  1.700000e+00 -3.400000e+00  4.459498e+00 
-3.300000e+00  1.650000e+00 -3.300000e+00  4.405033e+00 
-3.200000e+00  1.600000e+00 -3.200000e+00  4.347802e+00 
-3.100000e+00  1.550000e+00 -3.100000e+00  4.291586e+00 
-3.000000e+00  1.500000e+00 -3.000000e+00  4.237451e+00 
-2.900000e+00  1.450000e+00 -2.900000e+00  4.184804e+00 
-2.800000e+00  1.400000e+00 -2.800000e+00  4.132970e+00 
-2.700000e+00  1.350000e+00 -2.700000e+00  4.081524e+00 
-2.600000e+00  1.300000e+00 -2.600000e+00  4.030269e+00 
-2.500000e+00  1.250000e+00 -2.500000e+00  3.979112e+00 
-2.400000e+00  1.200000e+00 -2.400000e+00  3.928007e+00 
-2.300000e+00  1.150000e+00 -2.300000e+00  3.876927e+00 
-2.200000e+00  1.100000e+00 -2.200000e+00  3.825854e+00 
-2.100000e+00  1.050000e+00 -2.100000e+00  3.774780e+00 
-2.000000e+00  1.000000e+00 -2.000000e+00  3.723695e+00 
-1.900000e+00  9.500000e-01 -1.900000e+00  3.672594e+00 
